ACARACOACARAPNA PNA;ACCC5L
SUZANO HOLD PNB;NEMO6
SUZANO HOLD ON;NEMO3
SUZANO HOLD PNA;NEMO5
SUZANO PAPEL ON;SUZB3
TIME FOR FUN ON;SHOW3
FORJA TAURUS ON;TASA3
FORJA TAURUS PN;TASA15
FORJA TAURUS PN;TASA4
FORJA TAURUS PN;TASA17
FORJA TAURUS PN;TASA13
Taurus Armas PN;TAUR4
Taurus Armas ON;TAUR
FORJA TAURUS PN;FJTA15
FORJA TAURUS PN;FJTA17
FORJA TAURUS PN;FJTA13
Tbm Textil Bezerra Menez... PNA;TXBZ5L
Tecelagem Texita PNA;TTEX5L
TECHNOS ON;TECN3
TECNISA ON;TCSA3
TECNOSOLO ON;TCNO3
TECNOSOLO PN;TCNO4
TEGMA ON;TGMA3
TEKA PN;TEKA4
TEKA ON;TEKA3
TEKNO PN;TKNO4
TEKNO ON;TKNO3
TELEBRAS ON;TELB3
TELEBRAS PN;TELB2
TELEBRAS ON;TELB1
TELEBRAS PN;TELB4
TELEF BRASIL PN;VIVT4
TELEF BRASIL ON;VIVT3
Terminal Garagem Menezes... ON;MNZC3B
Terra Bravia Pn PN;TBCC4L
TERRA SANTA ON;TESA3
TERRA SANTA ON;TESA12
TEX RENAUX ON;TXRX3
TEX RENAUX PN;TXRX4
TIM ON;TIMP3
Tocantins Agro Avicola PNB;TOCN6L
Tocantins Agro Avicola PNA;TOCN5L
TOTVS ON;TOTS3
TRIUNFO PART ON;TPIS3
Tramontina PNB;TBLM6L
Transcontinental Hoteis ... PNA;TCTN5L
TAESA ON;TAEE3
TAESA PN;TAEE4
TREVISA PN;LUXM4
TREVISA ON;LUXM3
TRISUL ON;TRIS3
CRISTAL PNA;CRPG5
CRISTAL PNB;CRPG6
CRISTAL ON;CRPG3
True Securitizadora;APCS-CRI05B0
True Securitizadora;APCS-CRI050B
TUPY ON;TUPY3
ULTRAPAR ON;UGPA3
UNICASA ON;UCAS3
UNIPAR PNA;UNIP5
UNIPAR PNB;UNIP6
UNIPAR ON;UNIP3
Uptick Participacoes ON;UPKP3B
USIMINAS PNB;USIM6
USIMINAS ON;USIM3
USIMINAS PNA;USIM5
UTILITIES;UTIL11
Vale Bonito PNB;VLBN6L
VALE ON;VALE3
VALID ON;VLID3
VBI Log CI;LVBI12
Vert Companhia Securitiz...;VERT-CRAA2B0
Vert Companhia Securitiz...;VERT-CRAE1B0
Vert Companhia Securitiz...;VERT-CRI41B0
VERTCIASEC;VERT-CRAA1B0
Vert Companhia Securitiz...;VERT-CRAE2B0
Vert Companhia Securitiz...;VERT-CRAA20B
VERTCIASEC;VERT-CRA120B
VERTCIASEC;VERT-CRAA10B
Vert Companhia Securitiz...;VERT-CRA110B
Vert Companhia Securitiz...;VERT-CRA11B0
VERTCIASEC;VERT-CRA12B0
Vert Companhia Securitiz...;VERT-CRA52B0
Vert Companhia Securitiz...;VERT-CRA51B0
VERTCIASEC;VERT-CRA41B0
VIA VAREJO ON;VVAR3
VIVARA ON;VIVA3
VIVER ON;VIVR3
VIVER ON;VIVR1
VULCABRAS ON;VULC3
WEG ON;WEGE3
WETZEL PN;MWET4
WETZEL ON;MWET3
WHIRLPOOL PN;WHRL4
WHIRLPOOL ON;WHRL3
WIZ S.A ON;WIZS3
WLM PN;WLMM4
WLM ON;WLMM3
WTC PNA;WTCM5L
Wtorre Vrj Securitizador...;WTVR-CRI11B0
XAVANTE AGRO PNA PNA;XVTE5L
XINGUARA IND PNA PNA;XING5L
XP LOG FII COTAS;XPLG12
XP Malls FD Inv;XPML13
ESTACIO PART ON;YDUQ3E
Banco BTG Pactual SA;BPAC11
